入帳日期,代號,名稱,券商,股數,每股配息,實收金額,狀態,備註
2026-01-15,0050,元大台灣50,永豐竹科,45000,1.00,45000,已入帳,1月半年配
2026-01-20,2330,台積電,永豐竹科,5294,5.00,26470,已入帳,2025Q3季配
2026-02-10,0056,元大高股息,永豐竹科,62700,1.00,62700,已入帳,1月季配(1/21除息)
2026-02-12,00881,國泰台灣科技龍頭,永豐竹科,35000,1.20,42000,已入帳,1月半年配
2026-02-14,00927,群益半導體收益,永豐竹科,50000,0.42,21000,已入帳,1月季配
2026-02-14,00981A,主動統一台股增長,永豐竹科,23000,0.30,6900,已入帳,1月季配
2026-03-12,00894,中信小資高價30,永豐竹科,33000,0.55,18150,已入帳,2月季配
2026-04-09,2330,台積電,永豐竹科,5294,6.00,31764,已入帳,2025Q4季配
2026-04-15,00935,野村臺灣新科技50,永豐竹科,31000,0.85,26350,已入帳,3月半年配
2026-05-10,0056,元大高股息,永豐竹科,62700,1.00,62700,已入帳,4月季配
2026-05-14,00927,群益半導體收益,永豐竹科,50000,0.45,22500,已入帳,4月季配
2026-05-14,00981A,主動統一台股增長,永豐竹科,23000,0.32,7360,已入帳,4月季配
2026-06-12,00894,中信小資高價30,永豐竹科,33000,0.58,19140,已入帳,5月季配
2026-07-09,2330,台積電,永豐竹科,5294,6.00,31764,已入帳,2026Q1季配(6/11除息)
2026-08-10,0050,元大台灣50,永豐竹科,45000,0.60,27000,已公告,7/21除息
2026-08-10,0056,元大高股息,永豐竹科,62700,1.35,84645,已公告,7/21除息,單季新高
2026-08-10,006208,富邦台50,永豐竹科,20000,4.75,95000,已公告,7/16除息,歷史新高
2026-08-10,006208,富邦台50,台銀,1000,4.75,4750,已公告,7/16除息
2026-08-14,00927,群益半導體收益,永豐竹科,50000,0.46,23000,已公告,7月季配
2026-08-14,00981A,主動統一台股增長,永豐竹科,23000,0.35,8050,已公告,7月季配
2026-10-08,2330,台積電,永豐竹科,5294,7.00,37058,已公告,9/16除息,調升至7元
