Google Documents,理財幫手AndroMoney,2026/09/17,,,,,,,,,,,,
Id,幣別,金額,分類,子分類,日期,付款(轉出),收款(轉入),備註,Periodic,專案,商家(公司),uid,時間,status
1,TWD,9250,3C通訊,手機,20210921,信用卡,,,,,,da5fcdad899b4b3c82a15691bea4da68,1455,
2,TWD,5000,餐飲食品,cash,20210921,現金,,,,,,560ff66d2ac5478eb6fcd5439d149658,1520,
3,TWD,3145,服飾美容,褲子,20210921,信用卡,,,,,,7a96d32916dc4db79233a308e8f00b7e,1620,
4,TWD,1129,餐飲食品,晚餐,20210921,信用卡,,,,,,b8bd600e82ad4bc3b7c9f233c632f26c,1646,
5,TWD,500000,醫療保健,保險,20210924,現金,,,,,,977dc8a1f3474749997af2676ff8c7fb,1112,
6,TWD,350,3C通訊,手機,20210924,現金,,,,,,ef147ca91100462b91786f23fcb3d118,1734,
7,TWD,5000,餐飲食品,cash,20210925,現金,,,,,,a6cd520fce164f54832e95e7959bae6f,811,
8,TWD,1624,休閒娛樂,露營用品,20210926,現金,,,,,,9af31f6bf7d8456fa9bb37c64ee6c391,1759,
9,TWD,463,餐飲食品,晚餐,20210926,信用卡,,,,,,3dea31f513fd4fe695e504ce89e34d2b,2003,
10,TWD,1463,餐飲食品,食材,20210926,現金,,,,,,295bde03333c42a0b764bde024c20fac,2003,
11,TWD,1175,3C通訊,手機,20210926,信用卡,,,,,,f383449c8e3742f58b00a29209a484fb,657,
12,TWD,937,圖書刊物,書籍,20210927,信用卡,,,,,,1cbfb15e31e74a7ab06c717c9903a90a,2118,
13,TWD,841,運輸交通,ETC,20210928,信用卡,,,,,,dc79718d6ee5499bb0c370ee78c89071,2048,
14,TWD,685,休閒娛樂,露營用品,20210928,信用卡,,,,,,e6c5ab718b6e4afb9264e5358b4db067,2327,
15,TWD,398,居家生活,水費,20211001,信用卡,,,,,,4b9f1ff5bb1647a1bc5206003bed37ad,1029,
16,TWD,962,餐飲食品,午餐,20211003,信用卡,,,,,,b8ab0a325cdd4ac68fef874b1d34eea6,1500,
17,TWD,1500,稅務捐款,慈善捐款,20211003,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995,1704,
18,TWD,80000,餐飲食品,Wife,20211003,現金,,,,,,dff87a4971f1435d9f06abff8d2602bf,2115,
19,TWD,1328,休閒娛樂,露營用品,20211004,信用卡,,,,,,4922756e779e45e58d5da220e03f3fec,2209,
20,TWD,1328,休閒娛樂,露營用品,20211004,信用卡,,,,,,a8bab3592c4a4f8c88158f91a5191f72,2210,
21,TWD,1000,稅務捐款,慈善捐款,20211005,信用卡,,,,家扶,,0fa22cc6369c445aa375c20ecd4f6984,1055,
22,TWD,11326,汽機車,保險與稅捐,20211006,信用卡,,,,,,51b4bba0aa3f4fdca9cfb06437220116,1852,
23,TWD,24350,汽機車,維修保養,20211006,信用卡,,,,富邦,,7b8f004fda104e1e8f6267f29e5885ec,1852,
24,TWD,2013,服飾美容,配件,20211006,信用卡,,,,富邦,,6482154be6db458fbe447288eb4d7b04,2117,
25,TWD,1360,休閒娛樂,露營用品,20211006,信用卡,,,,富邦,,a06cea8bd12940afb8637c00f0fb4779,2243,
26,TWD,5840,餐飲食品,食材,20211007,信用卡,,,,Costco,,250ba32f6e3b4c85aa8df15c7af42c9d,2156,
27,TWD,11604,居家生活,管理費,20211008,現金,,,,,,dd3177e2e41646d0942fad8665cff378,2126,
28,TWD,5000,餐飲食品,點心零嘴,20211008,現金,,,,,,9b4b662754b94e8f9acb20e788927617,2228,
29,TWD,817,餐飲食品,點心零嘴,20211011,信用卡,,,,富邦,,3e686353c6584e479670530a302525a0,1657,
30,TWD,1862,餐飲食品,晚餐,20211011,信用卡,,,,富邦,,112fe24a8ee445afb46dbda175a2d0e1,1841,
31,TWD,1501,圖書刊物,書籍,20211014,信用卡,,,,富邦,,f9f1076c83cb4284a73174ec29824fad,2247,
32,TWD,1859,餐飲食品,晚餐,20211015,信用卡,,,,富邦,,744502615514484387f56f10feac4fba,2014,
33,TWD,1500,稅務捐款,慈善捐款,20211016,信用卡,,,,富邦,,3a10ea9910704dfd8724c7bdee6e3714,1013,
34,TWD,993,汽機車,油錢,20211016,信用卡,,,,富邦,,eee61e467bd147fa847646f8201d1f58,2225,
35,TWD,2000,稅務捐款,慈善捐款,20211020,信用卡,,,,富邦,,1487d3518e0b49f482548e229d47b53b,1155,
36,TWD,10000,餐飲食品,點心零嘴,20211021,現金,,,,,,238d4fbd2c824485a91fb069257b413c,1359,
37,TWD,16830,餐飲食品,晚餐,20211021,信用卡,,,,富邦,,b1a5d1c1618d4ef5a17ad5f7ee17d47b,2229,
38,TWD,4523,餐飲食品,點心零嘴,20211022,信用卡,,,,Costco,,a5311e1907714379987cd8dfb089c3e6,830,
39,TWD,1620,餐飲食品,午餐,20211023,信用卡,,,,富邦,,b027c1fb4b794fdbb638108944127161,1550,
40,TWD,3293,服飾美容,上衣,20211023,信用卡,,,,富邦,,a3bbb033c6cc44169600589d0e65472d,1551,
41,TWD,1033,餐飲食品,食材,20211024,信用卡,,,,富邦,,4922ea3cfa9a4d28820a98490cf73548,658,
42,TWD,1517,汽機車,油錢,20211025,信用卡,,,,富邦,,4dab334d265a4733b19be0ff752b02d1,1914,
43,TWD,9600,休閒娛樂,露營用品,20211029,現金,,露營,,,,320471eea5be443b8e80e5bf79590005,1726,
44,TWD,12118,休閒娛樂,旅行遊玩,20211030,信用卡,,,,富邦,,4dfec14e873340609f012212d5945e2a,1353,
45,TWD,19300,3C通訊,相機,20211030,現金,,GoPro,,,,ef3c297ec0134cb4b9bfb3684ef6d3ea,1953,
46,TWD,1990,服飾美容,配件,20211030,現金,,,,,,e6abd111fae746a19143da613aad9710,1954,
47,TWD,5000,餐飲食品,點心零嘴,20211031,現金,,,,,,a1175e7acf2542e3a34b6b96f361d132,1444,
48,TWD,1947,餐飲食品,晚餐,20211031,信用卡,,,,富邦,,e0c28e3f3edc46609744b2cf4b50406c,2238,
49,TWD,1500,稅務捐款,慈善捐款,20211102,信用卡,,,,富邦,,20aab2bd4e2340058a374f7cce21d934,649,
50,TWD,1500,稅務捐款,慈善捐款,20211103,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20211103,,0
51,TWD,1000,稅務捐款,慈善捐款,20211105,信用卡,,,,富邦,,4fcec4f814674491bc32c5d084a48060,1257,
52,TWD,85000,餐飲食品,Wife,20211105,現金,,,,,,2d72c3ffe0594b819d157c48707fe129,1657,
53,TWD,2596,餐飲食品,晚餐,20211105,信用卡,,,,富邦,,1c6104db5d574f90b5d1c315efe4f3e7,1914,
54,TWD,3436,休閒娛樂,旅行遊玩,20211106,信用卡,,,,富邦,,467a04f6520941199578560f110c17a3,2223,
55,TWD,493,居家生活,瓦斯費,20211106,信用卡,,,,富邦,,e813dd546ee740b1bb16b3ec56db3d9f,2223,
56,TWD,18395,汽機車,保險與稅捐,20211109,信用卡,,朵,,富邦,,6d074f1333964717a81a85d5b9b5117d,1035,
57,TWD,3965,醫療保健,保險,20211109,信用卡,,朵,,富邦,,89ce6c04c8204fbabcd3603f5e55413e,1036,
58,TWD,5000,餐飲食品,點心零嘴,20211111,現金,,,,,,a4719f0cdb4442cd83fb568fdf8ec3fa,825,
59,TWD,2603,餐飲食品,晚餐,20211112,信用卡,,,,富邦,,58f8865d58c144d2a73b79874f9618d6,859,
60,TWD,15000,餐飲食品,點心零嘴,20211114,現金,,,,,,4178f08b9d1442dd82a7687b8f2bf60f,718,
61,TWD,9300,休閒娛樂,旅行遊玩,20211115,現金,,,,,,c46f0eb60bea4ca59c3a8fada550d25f,849,
62,TWD,1391,汽機車,油錢,20211115,信用卡,,,,富邦,,827f0792222243269b5b93e7bbb4c6e3,1859,
63,TWD,1500,稅務捐款,慈善捐款,20211116,信用卡,,,,富邦,,856fd3b4ed3c45879aba2799f08ddcec,931,
64,TWD,2000,稅務捐款,慈善捐款,20211119,信用卡,,,,富邦,,dc3554a4141a4a808ec1893407d2a5d5,1129,
65,TWD,1519,餐飲食品,晚餐,20211119,信用卡,,,,富邦,,950ccf70a1d64420920ff8c01621ae70,2055,
66,TWD,10000,餐飲食品,點心零嘴,20211119,現金,,,,,,5d51c7b14d804e1f80c8cf3a57bb9304,2055,
67,TWD,1474,汽機車,油錢,20211125,信用卡,,,,富邦,,a86f9506a1874f99bb075e3fc09a79e1,2053,
68,TWD,1500,稅務捐款,慈善捐款,20211202,信用卡,,,,富邦,,cb8639f5d370462eaafd3e3376d8a2f6,711,
69,TWD,1500,稅務捐款,慈善捐款,20211203,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20211203,,0
70,TWD,1780,餐飲食品,晚餐,20211203,信用卡,,,,富邦,,a8c1d0681dc147dd8eec0ed8f51f9d0a,2115,
71,TWD,1555,休閒娛樂,旅行遊玩,20211205,信用卡,,,,富邦,,c80dcf0cfe3945cb9d5d048f3cc29b5b,1036,
72,TWD,2636,餐飲食品,食材,20211205,信用卡,,,,Costco,,31c3e56cee1f4e1ea29898818d6c9046,2009,
73,TWD,639,餐飲食品,食材,20211205,信用卡,,,,Costco,,4043dc73eba9421eb02b6b2d0d82dacb,2117,
74,TWD,1000,稅務捐款,慈善捐款,20211206,信用卡,,,,富邦,,ff8a768800584b0eb81ff0af6811bcd1,1114,
75,TWD,7675,餐飲食品,食材,20211206,現金,,烏魚子,,,,ed290af3d7144b84bce54c0f4d655e88,1114,
76,TWD,60000,餐飲食品,Wife,20211206,現金,,wife,,,,502dc1bfb99f4bd09f3bc5503dd424ca,1115,
77,TWD,1241,圖書刊物,書籍,20211208,信用卡,,,,富邦,,96e6322793074348a45a40c526a9723d,841,
78,TWD,10000,餐飲食品,點心零嘴,20211209,現金,,,,,,c0c64056510d483ebdd6ad4286d0368f,1753,
79,TWD,16742,餐飲食品,晚餐,20211209,信用卡,,,,富邦,,e633408707564fc1bcb2fa9bfcbb8cec,2054,
80,TWD,1750,餐飲食品,晚餐,20211211,信用卡,,,,富邦,,e0b854103f154557b347ac4f20daecbb,1848,
81,TWD,1402,汽機車,油錢,20211212,信用卡,,,,富邦,,2d74de20dea842b7acfba3236f21ca3d,2236,
82,TWD,1045,休閒娛樂,旅行遊玩,20211213,信用卡,,,,富邦,,b28fd1eec9b249899126c31073c89742,2052,
83,TWD,10000,餐飲食品,點心零嘴,20211214,現金,,,,,,dba43075e75f4359be88557060c9ce78,1942,
84,TWD,1500,稅務捐款,慈善捐款,20211216,信用卡,,,,富邦,,c6f8820a47c5478f88121592d78d69cd,721,
85,TWD,12270,餐飲食品,食材,20211216,信用卡,,,,Costco,,e6528c028b8a4383a32335c6a3f8a8aa,2131,
86,TWD,833,餐飲食品,食材,20211216,信用卡,,,,Costco,,94b9560bd97b4a17b382cdf63afcbd45,2132,
87,TWD,2000,稅務捐款,慈善捐款,20211220,信用卡,,,,富邦,,b4da39f8c923447d9db5a1cc5b5e47f5,1438,
88,TWD,3600,稅務捐款,保管箱,20211223,現金,,,,,,a8381fd0c8c34d5f8c42735ec087138a,1434,
89,TWD,5199,休閒娛樂,旅行遊玩,20211224,信用卡,,"

",,富邦,,7f73de7656524343a16cb6fde1110d6c,1106,
90,TWD,5000,餐飲食品,cash,20211224,現金,,,,,,dc5190bd4df045f09861abaffbd5e413,1809,
91,TWD,2796,休閒娛樂,旅行遊玩,20211226,信用卡,,,,富邦,,bb26b7d984184219922c04bffdec9069,948,
92,TWD,4128,休閒娛樂,旅行遊玩,20211226,信用卡,,,,富邦,,2fa7f366948442cea7d9f01136879fb3,1159,
93,TWD,2400,休閒娛樂,旅行遊玩,20211226,信用卡,,,,富邦,,039beb1a8c7e4f3abf41eb42ec4a732c,1200,
94,TWD,14870,服飾美容,配件,20211226,信用卡,,,,富邦,,66b7ad3379484e2b894370e2578022ac,1521,
95,TWD,3650,服飾美容,上衣,20211226,信用卡,,,,富邦,,d7af042d9063428f876da41738badcfe,1653,
96,TWD,3210,居家生活,家電用品,20211226,信用卡,,濾網,,富邦,,445aa4587e5d4380ba832406991cee69,2315,
97,TWD,15000,餐飲食品,點心零嘴,20211227,現金,,,,,,0d7ace624b9d46bda5038e373b11fbd3,2024,
98,TWD,10000,稅務捐款,慈善捐款,20211229,信用卡,,台東家扶,,富邦,,8d70bd4d5ccf4b40b9276a2df84ea6ff,1540,
99,TWD,1500,稅務捐款,慈善捐款,20220102,信用卡,,,,富邦,,0f9168b9663e4fae812f56b41a16a3ce,514,
100,TWD,1370,餐飲食品,食材,20220102,信用卡,,,,富邦,,f0ba8c4e46f143a2a99b1903cca1a74d,2027,
101,TWD,1500,稅務捐款,慈善捐款,20220103,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20220103,,0
102,TWD,11604,居家生活,管理費,20220103,現金,,,,,,d4361b3c4b654d82bbcefaebbbfdbbb6,2313,
103,TWD,60000,餐飲食品,Wife,20220105,現金,,,,,,7ba1342fadc645c48ff659f522af3385,1324,
104,TWD,1500,稅務捐款,慈善捐款,20220105,信用卡,,,,富邦,,5c5616ea4e7042808844707743948a21,1324,
